D2,Token,Token Frequency
255,covid-19,0.255
40,people,0.04
40,pandemic,0.04
36,deaths,0.036
35,covid,0.035
31,cases,0.031
28,19,0.028
26,trump,0.026
25,death,0.025
24,americans,0.024
23,patients,0.023
21,new,0.021
20,need,0.02
20,world,0.02
20,nursing,0.02
20,health,0.02
19,died,0.019
19,crisis,0.019
19,like,0.019
18,asian,0.018
17,social,0.017
17,cuomo,0.017
17,🇺,0.017
16,24,0.016
16,hours,0.016
16,got,0.016
16,spread,0.016
16,covid19,0.016
16,homes,0.016
15,democrat,0.015
15,real,0.015
15,virus,0.015
15,positive,0.015
15,attacks,0.015
15,beginning,0.015
15,george,0.015
15,floyd,0.015
15,murder,0.015
15,hospital,0.015
15,🇸,0.015
14,good,0.014
14,okay,0.014
14,black,0.014
13,vaccine,0.013
13,passionately,0.013
13,speaking,0.013
13,xenophobic,0.013
13,suddenly,0.013
13,public,0.013
12,twitter,0.012
12,president,0.012
12,want,0.012
12,country,0.012
12,house,0.012
12,workers,0.012
11,better,0.011
11,state,0.011
11,masks,0.011
11,look,0.011
11,acted,0.011
11,covid_19,0.011
11,wear,0.011
10,record,0.01
10,economy,0.01
10,patient,0.01
10,single,0.01
10,work,0.01
10,coronavirus,0.01
10,quickly,0.01
10,broke,0.01
10,tweets,0.01
10,face,0.01
10,order,0.01
10,government,0.01
10,help,0.01
10,needs,0.01
10,elderly,0.01
9,watch,0.009
9,sharing,0.009
9,dead,0.009
9,lockdowns,0.009
9,recorded,0.009
9,spike,0.009
9,blame,0.009
9,case,0.009
9,viruses,0.009
9,months,0.009
9,racism,0.009
9,tested,0.009
9,today,0.009
9,fact,0.009
9,lives,0.009
9,individuals,0.009
9,testing,0.009
9,unable,0.009
9,texas,0.009
9,data,0.009
9,continues,0.009
9,states,0.009
9,florida,0.009
